case:concept:name,concept:name,time:timestamp
1025,Review Driving History,2023-02-04 02:47:00
1025,Validate Claim Data,2023-02-04 02:48:00
1025,Check Credit Score,2023-02-04 02:52:00
1025,Evaluate Past Accidents,2023-02-04 03:02:00
1025,Make Claim Decision,2023-02-04 03:02:00
1025,Claim Approved or Rejected,2023-02-04 03:13:00
1025,Check DUI and Speeding,2023-02-04 03:23:00
1025,End Claim,2023-02-04 03:50:00
1026,Start Claim,2023-01-11 11:54:00
1026,Validate Claim Data,2023-01-11 12:00:00
1026,Review Driving History,2023-01-11 12:06:00
1026,Check Credit Score,2023-01-11 12:10:00
1026,Evaluate Past Accidents,2023-01-11 12:14:00
1026,Check DUI and Speeding,2023-01-11 12:29:00
1026,Claim Approved or Rejected,2023-01-11 12:29:00
1026,Make Claim Decision,2023-01-11 12:54:00
1026,End Claim,2023-01-11 13:14:00
1027,Start Claim,2023-01-01 10:52:00
1027,Validate Claim Data,2023-01-01 10:56:00
1027,Check Credit Score,2023-01-01 11:10:00
1027,Review Driving History,2023-01-01 11:10:00
1027,Make Claim Decision,2023-01-01 11:16:00
1027,End Claim,2023-01-01 11:16:00
1027,Check DUI and Speeding,2023-01-01 11:17:00
1027,Claim Approved or Rejected,2023-01-01 11:27:00
1027,Evaluate Past Accidents,2023-01-01 11:32:00
1028,Start Claim,2023-01-09 20:20:00
1028,Validate Claim Data,2023-01-09 20:26:00
1028,Review Driving History,2023-01-09 20:32:00
1028,Check DUI and Speeding,2023-01-09 20:35:00
1028,Check Credit Score,2023-01-09 20:40:00
1028,Evaluate Past Accidents,2023-01-09 20:44:00
1028,Claim Approved or Rejected,2023-01-09 20:55:00
1028,Make Claim Decision,2023-01-09 20:56:00
1028,End Claim,2023-01-09 21:08:00
1029,Start Claim,2023-01-04 13:49:00
1029,Validate Claim Data,2023-01-04 13:58:00
1029,Check Credit Score,2023-01-04 14:05:00
1029,Evaluate Past Accidents,2023-01-04 14:05:00
1029,Review Driving History,2023-01-04 14:07:00
1029,Check DUI and Speeding,2023-01-04 14:09:00
1029,Claim Approved or Rejected,2023-01-04 14:17:00
1029,Make Claim Decision,2023-01-04 14:25:00
1029,End Claim,2023-01-04 14:37:00
103,Start Claim,2023-01-23 02:32:00
103,Validate Claim Data,2023-01-23 02:41:00
103,Evaluate Past Accidents,2023-01-23 02:44:00
103,Check Credit Score,2023-01-23 02:46:00
103,Review Driving History,2023-01-23 02:50:00
103,Make Claim Decision,2023-01-23 02:56:00
103,End Claim,2023-01-23 02:56:00
103,Check DUI and Speeding,2023-01-23 02:57:00
103,Claim Approved or Rejected,2023-01-23 03:07:00
1030,Start Claim,2023-01-08 18:54:00
1030,Validate Claim Data,2023-01-08 19:01:00
1030,Check Credit Score,2023-01-08 19:12:00
1030,Review Driving History,2023-01-08 19:12:00
1030,Check DUI and Speeding,2023-01-08 19:14:00
1030,Evaluate Past Accidents,2023-01-08 19:26:00
1030,Claim Approved or Rejected,2023-01-08 19:29:00
1030,Make Claim Decision,2023-01-08 19:30:00
1030,End Claim,2023-01-08 20:14:00
1031,Start Claim,2023-01-06 23:14:00
1031,Validate Claim Data,2023-01-06 23:19:00
1031,Check Credit Score,2023-01-06 23:24:00
1031,Evaluate Past Accidents,2023-01-06 23:30:00
1031,Review Driving History,2023-01-06 23:32:00
1031,End Claim,2023-01-06 23:46:00
1031,Check DUI and Speeding,2023-01-06 23:54:00
1031,Make Claim Decision,2023-01-06 23:56:00
1031,Claim Approved or Rejected,2023-01-07 00:10:00
1032,Start Claim,2023-01-15 17:44:00
1032,Validate Claim Data,2023-01-15 17:50:00
1032,Check Credit Score,2023-01-15 18:00:00
1032,Evaluate Past Accidents,2023-01-15 18:00:00
1032,Check DUI and Speeding,2023-01-15 18:04:00
1032,Review Driving History,2023-01-15 18:05:00
1032,End Claim,2023-01-15 18:08:00
1032,Claim Approved or Rejected,2023-01-15 18:26:00
1032,Make Claim Decision,2023-01-15 18:44:00
1033,Start Claim,2023-01-06 05:23:00
1033,Validate Claim Data,2023-01-06 05:31:00
1033,Check Credit Score,2023-01-06 05:31:00
1033,Check DUI and Speeding,2023-01-06 05:38:00
1033,Review Driving History,2023-01-06 05:53:00
1033,Evaluate Past Accidents,2023-01-06 05:59:00
1033,Make Claim Decision,2023-01-06 06:11:00
1033,Claim Approved or Rejected,2023-01-06 06:12:00
1033,End Claim,2023-01-06 06:27:00
1034,Start Claim,2023-01-18 21:27:00
1034,Validate Claim Data,2023-01-18 21:35:00
1034,Check Credit Score,2023-01-18 21:39:00
1034,Review Driving History,2023-01-18 21:45:00
1034,End Claim,2023-01-18 21:51:00
1034,Make Claim Decision,2023-01-18 21:57:00
1034,Evaluate Past Accidents,2023-01-18 22:07:00
1034,Check DUI and Speeding,2023-01-18 22:07:00
1034,Claim Approved or Rejected,2023-01-18 22:09:00
1035,Start Claim,2023-01-06 15:59:00
1035,Validate Claim Data,2023-01-06 16:03:00
1035,Check Credit Score,2023-01-06 16:19:00
1035,Evaluate Past Accidents,2023-01-06 16:19:00
1035,Review Driving History,2023-01-06 16:23:00
1035,End Claim,2023-01-06 16:31:00
1035,Check DUI and Speeding,2023-01-06 16:34:00
1035,Make Claim Decision,2023-01-06 16:35:00
1035,Claim Approved or Rejected,2023-01-06 16:55:00
1036,Start Claim,2023-01-12 08:51:00
1036,Validate Claim Data,2023-01-12 08:57:00
1036,Check Credit Score,2023-01-12 08:57:00
1036,Review Driving History,2023-01-12 09:09:00
1036,Evaluate Past Accidents,2023-01-12 09:15:00
1036,Make Claim Decision,2023-01-12 09:15:00
1036,Check DUI and Speeding,2023-01-12 09:36:00
1036,Claim Approved or Rejected,2023-01-12 09:54:00
1036,End Claim,2023-01-12 10:11:00
1037,Start Claim,2023-01-05 08:33:00
1037,Validate Claim Data,2023-01-05 08:37:00
1037,Check Credit Score,2023-01-05 08:39:00
1037,Review Driving History,2023-01-05 08:54:00
1037,Make Claim Decision,2023-01-05 08:57:00
1037,End Claim,2023-01-05 08:57:00
1037,Evaluate Past Accidents,2023-01-05 09:01:00
1037,Check DUI and Speeding,2023-01-05 09:23:00
1037,Claim Approved or Rejected,2023-01-05 09:29:00
1038,Start Claim,2023-01-02 21:58:00
1038,Validate Claim Data,2023-01-02 22:06:00
1038,Check Credit Score,2023-01-02 22:08:00
1038,Review Driving History,2023-01-02 22:19:00
1038,Make Claim Decision,2023-01-02 22:28:00
1038,Evaluate Past Accidents,2023-01-02 22:30:00
1038,Claim Approved or Rejected,2023-01-02 22:33:00
1038,Check DUI and Speeding,2023-01-02 22:48:00
1038,End Claim,2023-01-02 22:54:00
1039,Start Claim,2023-01-23 05:55:00
1039,Validate Claim Data,2023-01-23 06:02:00
1039,Check Credit Score,2023-01-23 06:03:00
1039,Review Driving History,2023-01-23 06:16:00
1039,Make Claim Decision,2023-01-23 06:19:00
1039,Check DUI and Speeding,2023-01-23 06:30:00
1039,Evaluate Past Accidents,2023-01-23 06:35:00
1039,End Claim,2023-01-23 06:51:00
1039,Claim Approved or Rejected,2023-01-23 06:58:00
104,Start Claim,2023-01-18 15:41:00
104,Validate Claim Data,2023-01-18 15:47:00
104,Review Driving History,2023-01-18 15:56:00
104,Check Credit Score,2023-01-18 16:01:00
104,Evaluate Past Accidents,2023-01-18 16:09:00
104,End Claim,2023-01-18 16:21:00
104,Check DUI and Speeding,2023-01-18 16:26:00
104,Make Claim Decision,2023-01-18 16:29:00
104,Claim Approved or Rejected,2023-01-18 16:37:00
1040,Start Claim,2023-02-01 03:24:00
1040,Check Credit Score,2023-02-01 03:30:00
1040,Validate Claim Data,2023-02-01 03:34:00
1040,Claim Approved or Rejected,2023-02-01 03:45:00
1040,Make Claim Decision,2023-02-01 03:48:00
1040,Review Driving History,2023-02-01 03:51:00
1040,Evaluate Past Accidents,2023-02-01 03:52:00
1040,Check DUI and Speeding,2023-02-01 03:59:00
1040,End Claim,2023-02-01 04:44:00
1041,Start Claim,2023-01-14 05:59:00
1041,Validate Claim Data,2023-01-14 06:08:00
1041,Check Credit Score,2023-01-14 06:09:00
1041,Review Driving History,2023-01-14 06:11:00
1041,Evaluate Past Accidents,2023-01-14 06:11:00
1041,Make Claim Decision,2023-01-14 06:23:00
1041,Check DUI and Speeding,2023-01-14 06:34:00
1041,Claim Approved or Rejected,2023-01-14 06:41:00
1041,End Claim,2023-01-14 06:55:00
1042,Start Claim,2023-02-03 19:27:00
1042,Validate Claim Data,2023-02-03 19:30:00
1042,Check Credit Score,2023-02-03 19:43:00
1042,Evaluate Past Accidents,2023-02-03 19:55:00
1042,Review Driving History,2023-02-03 19:57:00
1042,Claim Approved or Rejected,2023-02-03 20:16:00
1042,Check DUI and Speeding,2023-02-03 20:17:00
1042,Make Claim Decision,2023-02-03 20:21:00
1042,End Claim,2023-02-03 20:47:00
1043,Start Claim,2023-02-02 22:11:00
1043,Validate Claim Data,2023-02-02 22:18:00
1043,Check Credit Score,2023-02-02 22:23:00
1043,Evaluate Past Accidents,2023-02-02 22:31:00
1043,Review Driving History,2023-02-02 22:32:00
1043,Check DUI and Speeding,2023-02-02 22:46:00
1043,Make Claim Decision,2023-02-02 22:47:00
1043,Claim Approved or Rejected,2023-02-02 22:53:00
1043,End Claim,2023-02-02 22:59:00
1044,Start Claim,2023-02-04 13:17:00
1044,Check Credit Score,2023-02-04 13:25:00
1044,Validate Claim Data,2023-02-04 13:27:00
1044,Check DUI and Speeding,2023-02-04 13:32:00
1044,Evaluate Past Accidents,2023-02-04 13:33:00
1044,Review Driving History,2023-02-04 13:35:00
1044,Make Claim Decision,2023-02-04 13:35:00
1044,Claim Approved or Rejected,2023-02-04 13:38:00
1044,End Claim,2023-02-04 14:05:00
1045,Start Claim,2023-02-01 13:25:00
1045,Validate Claim Data,2023-02-01 13:32:00
1045,Review Driving History,2023-02-01 13:34:00
1045,Check Credit Score,2023-02-01 13:35:00
1045,Check DUI and Speeding,2023-02-01 13:40:00
1045,Evaluate Past Accidents,2023-02-01 13:45:00
1045,Make Claim Decision,2023-02-01 13:49:00
1045,End Claim,2023-02-01 14:13:00
1045,Claim Approved or Rejected,2023-02-01 14:28:00
1046,Start Claim,2023-01-04 06:17:00
1046,Validate Claim Data,2023-01-04 06:24:00
1046,Check Credit Score,2023-01-04 06:33:00
1046,Review Driving History,2023-01-04 06:44:00
1046,Evaluate Past Accidents,2023-01-04 06:49:00
1046,Check DUI and Speeding,2023-01-04 06:52:00
1046,Make Claim Decision,2023-01-04 07:05:00
1046,End Claim,2023-01-04 07:13:00
1046,Claim Approved or Rejected,2023-01-04 07:20:00
1047,Start Claim,2023-01-04 05:03:00
1047,Validate Claim Data,2023-01-04 05:13:00
1047,Check Credit Score,2023-01-04 05:15:00
1047,Evaluate Past Accidents,2023-01-04 05:19:00
1047,Make Claim Decision,2023-01-04 05:21:00
1047,Review Driving History,2023-01-04 05:33:00
1047,Claim Approved or Rejected,2023-01-04 05:45:00
1047,Check DUI and Speeding,2023-01-04 05:48:00
1047,End Claim,2023-01-04 05:59:00
1048,Start Claim,2023-01-25 00:03:00
1048,Validate Claim Data,2023-01-25 00:13:00
1048,Check Credit Score,2023-01-25 00:15:00
1048,Review Driving History,2023-01-25 00:18:00
1048,Evaluate Past Accidents,2023-01-25 00:23:00
1048,Check DUI and Speeding,2023-01-25 00:33:00
1048,Make Claim Decision,2023-01-25 00:45:00
1048,Claim Approved or Rejected,2023-01-25 00:45:00
1048,End Claim,2023-01-25 00:51:00
1049,Start Claim,2023-01-16 15:04:00
1049,Validate Claim Data,2023-01-16 15:11:00
1049,Check Credit Score,2023-01-16 15:14:00
1049,Review Driving History,2023-01-16 15:28:00
1049,Evaluate Past Accidents,2023-01-16 15:28:00
1049,Check DUI and Speeding,2023-01-16 15:44:00
1049,End Claim,2023-01-16 15:44:00
1049,Claim Approved or Rejected,2023-01-16 15:53:00
1049,Make Claim Decision,2023-01-16 15:58:00
105,Start Claim,2023-01-24 21:26:00
105,Validate Claim Data,2023-01-24 21:32:00
105,Check Credit Score,2023-01-24 21:46:00
105,Evaluate Past Accidents,2023-01-24 21:46:00
105,Review Driving History,2023-01-24 21:50:00
105,Make Claim Decision,2023-01-24 22:14:00
105,Check DUI and Speeding,2023-01-24 22:16:00
105,Claim Approved or Rejected,2023-01-24 22:29:00
105,End Claim,2023-01-24 22:38:00
1050,Start Claim,2023-01-06 20:27:00
1050,Validate Claim Data,2023-01-06 20:37:00
1050,Review Driving History,2023-01-06 20:42:00
1050,Check Credit Score,2023-01-06 20:45:00
1050,Check DUI and Speeding,2023-01-06 20:47:00
1050,Evaluate Past Accidents,2023-01-06 21:03:00
1050,Make Claim Decision,2023-01-06 21:03:00
1050,Claim Approved or Rejected,2023-01-06 21:23:00
1050,End Claim,2023-01-06 21:47:00
1051,Start Claim,2023-01-08 13:29:00
1051,Validate Claim Data,2023-01-08 13:33:00
1051,Check Credit Score,2023-01-08 13:41:00
1051,Make Claim Decision,2023-01-08 13:47:00
1051,Evaluate Past Accidents,2023-01-08 13:49:00
1051,Check DUI and Speeding,2023-01-08 13:54:00
1051,Review Driving History,2023-01-08 13:56:00
1051,End Claim,2023-01-08 14:09:00
1051,Claim Approved or Rejected,2023-01-08 14:18:00
1052,Start Claim,2023-01-19 10:19:00
1052,Validate Claim Data,2023-01-19 10:25:00
1052,Check Credit Score,2023-01-19 10:35:00
1052,Review Driving History,2023-01-19 10:43:00
1052,Claim Approved or Rejected,2023-01-19 10:47:00
1052,Evaluate Past Accidents,2023-01-19 10:59:00
1052,Check DUI and Speeding,2023-01-19 11:04:00
1052,Make Claim Decision,2023-01-19 11:13:00
1052,End Claim,2023-01-19 11:15:00
1053,Start Claim,2023-01-30 05:46:00
1053,Check Credit Score,2023-01-30 05:52:00
1053,Validate Claim Data,2023-01-30 05:55:00
1053,Review Driving History,2023-01-30 05:58:00
1053,Check DUI and Speeding,2023-01-30 06:06:00
1053,Claim Approved or Rejected,2023-01-30 06:07:00
1053,End Claim,2023-01-30 06:10:00
1053,Evaluate Past Accidents,2023-01-30 06:18:00
1053,Make Claim Decision,2023-01-30 06:28:00
1054,Start Claim,2023-01-24 20:01:00
1054,Validate Claim Data,2023-01-24 20:07:00
1054,Review Driving History,2023-01-24 20:13:00
1054,Check Credit Score,2023-01-24 20:19:00
1054,Make Claim Decision,2023-01-24 20:19:00
1054,Check DUI and Speeding,2023-01-24 20:21:00
1054,Evaluate Past Accidents,2023-01-24 20:41:00
1054,Claim Approved or Rejected,2023-01-24 20:57:00
